course_code,course_name,credits,day,start_time,end_time,room,lecturer,exam_date,exam_session
ACC1101,PRINCIPLES OF ACCOUNTING 1,3,TH,8:30,11:00,KTB 201,DR.MATAWEE; DR.NARINTIP,19-10-25,A
ACC1101,PRINCIPLES OF ACCOUNTING 1,3,F,13:30,15:20,VPB 301,DR.MATAWEE; DR.NARINTIP,19-10-25,A
ACC1102,PRINCIPLES OF ACCOUNTING 2,3,TH,13:30,15:20,VKB 301,ASSOC.PROF.DR.KITTIYA; DR.NARINTIP,18-10-25,B
ACC1103,FINANCIAL ACCOUNTING,3,TH,8:30,11:00,KTB 301,DR.NATCHAREE,22-10-25,A
ACC1104,MANAGEMENT ACCOUNTING,3,TH,11:30,13:20,VKB 401,ASSOC.PROF.DR.KITTIYA,17-10-25,B
ACC1130,GENERAL ACCOUNTING,3,TH,8:30,11:00,KTB 301,DR.NATCHAREE,22-10-25,A
ACC2134,MANAGEMENT ACCOUNTING,3,TH,11:30,13:20,VKB 401,ASSOC.PROF.DR.KITTIYA,17-10-25,B
ACC2201,INTERMEDIATE ACCOUNTING 1,3,TU,13:30,15:20,VPB 201,ASSOC.PROF.NATCHALAI,16-10-25,B
ACC2202,INTERMEDIATE ACCOUNTING 2,3,TH,13:30,15:20,SBB 501,ASST.PROF.BOONTHAM,27-10-25,A
ACC3200,ADVANCED ACCOUNTING 1,3,W,11:30,13:20,VKB 401,DR.NARINTIP,21-10-25,A
ACC3205,TAX ACCOUNTING,3,W,17:30,19:20,SBB 201,,15-10-25,A
ACC3211,COST ACCOUNTING 1,3,M,9:30,11:20,SBB 502,ASSOC.PROF.NATCHALAI; ASSOC.PROF.DR.KITTIYA,16-10-25,A
ACC3212,COST ACCOUNTING 2,3,W,9:30,11:20,SBB 502,ASSOC.PROF.DR.KITTIYA; DR.NARINTIP,29-10-25,A
ACC3220,AUDITING,3,S,15:30,17:20,VKB 301,,26-10-25,A
ACC3240,THE APPLICATION OF ACCOUNTING,3,TH,13:30,15:20,à¸«à¹‰à¸­à¸‡à¸›à¸à¸´à¸šà¸±à¸•à¸´à¸à¸²à¸£ KHUNRUEDEE,,,
ACC3250,ACCOUNTING SOFTWARE,3,TH,13:30,15:20,à¸«à¹‰à¸­à¸‡à¸›à¸à¸´à¸šà¸±à¸•à¸´à¸à¸²à¸£ KHUNRUEDEE,,,
ACC3348,HOTEL ACCOUNTING,3,TU,9:30,11:20,SKB504,DR.MATAWEE; DR.NATCHAREE,22-10-25,B
ACC4200,ADVANCED ACCOUNTING 2,3,W,9:30,11:20,VPB 301,DR.NANTAWUN,27-10-25,A
ACC4203,ACCOUNTING INFORMATION SYSTEM,3,S,9:30,11:20,VKB 401,,29-10-25,B
ACC4209,FINANCIAL REPORTING AND ANALYSIS,3,TH,11:30,13:20,SBB 401,ASSOC.PROF.NATCHALAI,20-10-25,A
ACC4220,SEMINAR IN AUDITING,3,TH,13:30,15:20,VPB 301,,20-10-25,B
ACC4246,INTERNAL AUDIT AND INTERNAL,3,M,9:30,11:20,SKB502,DR.MATAWEE; DR.NATCHAREE,18-10-25,A
ACC4252,SEMINAR IN FINANCIAL ACCOUNTING,3,S,11:30,13:20,VKB 301,DR.WITTAYA,17-10-25,A
ACC4344,ACCOUNTING FOR PLANNING AND,3,TH,7:30,9:20,SWB 703,DR.NANTAWUN,15-10-25,B
ACC4348,INTERNATIONAL ACCOUNTING,3,TH,9:30,11:20,SWB 703,DR.NANTAWUN,27-10-25,B
AGR1003,INTRODUCTION TO AGRICULTURE,3,F,7:30,9:20,SBB 310,ASST.PROF.SUPCHOTE; PROF.SUPAWADEE; ASST.PROF.DR.THANIWAN; ASST.PROF.DR.SUPANEE,21-10-25,B
ANT2013,INTRODUCTION TO ARCHAEOLOGY,3,M,11:30,13:20,SBB 303,ASST.PROF.ANGELA,17-10-25,A
ANT2029,CULTURE AND PERSONALITY,3,W,9:30,11:20,VPB 402,,29-10-25,A
ANT3027,MINORITY GROUPS,3,TU,9:30,11:20,BPB302,ASST.PROF.UKRIT,22-10-25,A
ANT3051,SOCIO-CULTURAL RELATIONS BETWEEN ASEAN,3,TU,9:30,11:20,BPB305,ASST.PROF.DR.PAKAPON,22-10-25,B
ANT3053,KOREAN SOCIETY AND CULTURE,3,W,9:30,11:20,SBB 303,ASST.PROF.ANGELA,27-10-25,A
ANT3057,THAI SOCIETY AND CULTURE,3,W,13:30,15:20,SBB 401,,24-10-25,B
ANT4078,CULTURE AND ECONOMIC BEHAVIOR,3,TU,13:30,15:20,VPB 402,,25-10-25,A
ARA1001,FUNDAMENTAL ARABIC 1,3,M,9:30,11:20,SWB 507,ASST.PROF.DR.SOMCHAI,24-10-25,B
ARA1001,FUNDAMENTAL ARABIC 1,3,TU,13:30,15:20,SWB 701,ASST.PROF.DR.SOMCHAI; ASST.PROF.DR.SOMCHAI,24-10-25,B
ARA1002,FUNDAMENTAL ARABIC 2,3,M,13:30,15:20,SWB 504,ASST.PROF.DR.DULYAWIT,18-10-25,A
ARA2001,FUNDAMENTAL ARABIC 3,3,W,13:30,15:20,SWB 506,ASST.PROF.DR.DULYAWIT,28-10-25,B
ARA2002,FUNDAMENTAL ARABIC 4,3,W,13:30,15:20,SWB 604,ASST.PROF.DR.SOMCHAI,21-10-25,A
ARA3103,TRANSLATION : ARABIC-THAI 1,3,TH,13:30,15:20,SWB 501,ASST.PROF.DR.SOMCHAI,24-10-25,B
ARA3405,BUSINESS ARABIC,3,TU,7:30,9:20,SWB 502,ASST.PROF.DR.DULYAWIT,25-10-25,B
ART1003,ART APPRECIATION,2,TU,9:30,11:20,VPB 501,ASST.PROF.DR.TEERANUN,27-10-25,A
ATF2003,"(AT203,AF203 )PRINCIPLES OF PLANT SCIENCE",3,W,7:30,9:20,SCO 109/1,,,
ATF2003,"(AT203,AF203 )PRINCIPLES OF PLANT SCIENCE",3,W,9:30,12:30,SCO 109/1,,,
ATF2503,"(AT253,AF253 )PRINCIPLES OF HORTICULTURE",3,F,9:30,12:30,KMB 104,,,
ATF3004,"(AT304,AF304 )ECONOMIC CROP PRODUCTION",3,F,9:30,12:30,SCO 109/1,,,
ATF3005,"(AT305,AF305 )FUNDAMENTALS OF PLANT",3,TU,7:30,9:20,SCO 109/1,,,
ATF3005,"(AT305,AF305 )FUNDAMENTALS OF PLANT",3,TU,9:30,12:30,SCO 109/1,,,
ATF3304,,3,TU,13:30,15:20,KMB 314,DR.PONGSAK,,
ATF3304,,3,TU,15:30,18:30,KMB 314,DR.PONGSAK; DR.PONGSAK,,
ATF3403,,3,TU,9:30,12:30,KMB 315,ASST.PROF.DR.HARIT,,
ATF3503,,3,M,9:30,12:30,KMB 104,,,
ATF3505,,3,W,13:30,16:30,KMB 104,,,
ATF4303,,3,W,13:30,15:20,SCO 109/1,,,
ATF4303,,3,W,15:30,18:30,SCO 109/1,,,
ATF4306,,3,TU,13:30,15:20,SCO 109/1,,,
ATF4306,,3,TU,15:30,18:30,SCO 109/1,,,
ATF4508,,3,TH,7:30,9:20,KMB 104,,,
ATF4508,,3,TH,9:30,12:30,KMB 104,,,
ATF4509,,3,M,7:30,9:20,SCO 109/1,,,
ATF4509,,3,M,9:30,12:30,SCO 109/1,,,
ATF4908,,3,F,9:30,16:30,KMB 313,,,
ATF4909,,1,F,9:30,10:30,KMB 101,,,
ATH2203,"(AT223,AH223 )PRINCIPLES OF ANIMAL SCIENCE",3,TH,9:30,12:30,SCO 109/1,,,
ATH3204,"(AT324,AH324 )LIVESTOCK HYGIENE",3,W,13:30,16:30,KMB 317/1,DR.NUNGNUCH,,
ATH3206,"(AT326,AH326 )ANIMAL DRUGS AND THEIR USES",3,F,13:30,16:30,KMB 317/1,DR.NUNGNUCH,,
ATH3208,SWINE FARM MANAGEMENT,3,TH,13:30,16:30,KMB 317/1,DR.NUNGNUCH,,
ATH3209,"(AT329,AH329 )CATTLE FARM MANAGEMENT",3,M,13:30,16:30,KMB 317/1,DR.NUNGNUCH,,
ATH4201,"(AT323,AH421 )PRINCIPLES OF ANIMAL NUTRITION LEC.",3,TU,7:30,9:20,KMB 316,,,
ATH4201,"(AT323,AH421 )PRINCIPLES OF ANIMAL NUTRITION LEC.",3,TU,9:30,12:30,KMB 316,,,
ATH4207,ANIMAL PRODUCT MANAGEMENT,3,M,7:30,9:20,KMB 317/1,ASST.PROF.DR.NIDSARAPORN,,
ATH4207,ANIMAL PRODUCT MANAGEMENT,3,M,9:30,12:30,KMB 317/1,ASST.PROF.DR.NIDSARAPORN; ASST.PROF.DR.NIDSARAPORN,,
ATH4208,"(AT428,AH428 )AQUATIC ANIMAL PRODUCTION",3,TU,7:30,9:20,KMB 317/1,ASST.PROF.DR.NIDSARAPORN,,
ATH4208,"(AT428,AH428 )AQUATIC ANIMAL PRODUCTION",3,TU,9:30,12:30,KMB 317/1,ASST.PROF.DR.NIDSARAPORN; ASST.PROF.DR.NIDSARAPORN,,
ATH4210,ORGANIC LIVESTOCK PRODUCTION,3,F,13:30,16:30,SCO 109/1,,,
ATH4908,"(AT498,AH498 )SPECIAL PROBLEM IN ANIMAL",3,F,9:30,16:30,KMB 105,,,
ATH4909,"(AT499,AH499 )SEMINAR IN ANIMAL PRODUCTION LEC.",1,F,13:30,14:30,KMB 101,,,
ATM2301,"(AT231,AM231 ) PRINCIPLES OF PLANT PATHOLOGY LEC.",3,W,7:30,9:20,KMB 315,ASST.PROF.DR.HARIT,,
ATM2301,"(AT231,AM231 ) PRINCIPLES OF PLANT PATHOLOGY LEC.",3,W,9:30,12:30,KMB 315,ASST.PROF.DR.HARIT; ASST.PROF.DR.HARIT,,
ATM3601,"(AT361,AM361)AGRICULTURAL ENTOMOLOGY",3,M,13:30,15:20,KMB 611,ASST.PROF.DR.ARUNRAT,,
ATM3601,"(AT361,AM361)AGRICULTURAL ENTOMOLOGY",3,M,15:30,18:30,KMB 611,ASST.PROF.DR.ARUNRAT; ASST.PROF.DR.ARUNRAT,,
ATM3703,"(AT373,AM373 )DISEASES OF ECONOMIC PLANTS",3,TH,7:30,9:20,KMB 315,ASST.PROF.DR.HARIT,,
ATM3703,"(AT373,AM373 )DISEASES OF ECONOMIC PLANTS",3,TH,9:30,12:30,KMB 315,ASST.PROF.DR.HARIT; ASST.PROF.DR.HARIT,,
ATM4603,BEEKEEPING AND POLLINATION,3,W,13:30,15:20,KMB 611,ASST.PROF.DR.ARUNRAT,,
ATM4603,BEEKEEPING AND POLLINATION,3,W,15:30,18:30,KMB 611,ASST.PROF.DR.ARUNRAT; ASST.PROF.DR.ARUNRAT,,
ATM4605,"(AT465,AM465)MEDICAL AND VETERINARY",3,TH,13:30,15:20,KMB 611,ASST.PROF.DR.ARUNRAT,,
