program_code,course_code,type,year_recommended
DTL,DTL2001,core,
DTL,DTL2201,core,
DTL,DTL2301,core,
DTL,DTL2302,core,
DTL,DTL2304,core,
DTL,DTL2401,core,
DTL,DTL2402,core,
DTL,DTL2403,core,
DTL,DTL2801,core,
DTL,DTL2901,core,
DTL,DTL2902,core,
DTL,DTL3302,core,
DTL,DTL3303,core,
DTL,DTL3401,core,
DTL,DTL3402,core,
DTL,DTL3403,core,
DTL,DTL3414,core,
DTL,DTL3415,core,
DTL,DTL3416,core,
DTL,DTL3501,core,
DTL,DTL3601,core,
DTL,DTL3602,core,
DTL,DTL3603,core,
DTL,DTL3801,core,
DTL,DTL4301,core,
DTL,DTL4302,core,
DTL,DTL4303,core,
DTL,DTL4501,core,
DTL,DTL4701,core,
DTL,DTL4702,core,
DTL,DTL4801,core,
DTL,DTL4901,core,
DTL,DTL2303,elective,
DTL,DTL2404,elective,
DTL,DTL2405,elective,
DTL,DTL2406,elective,
DTL,DTL2407,elective,
DTL,DTL2903,elective,
DTL,DTL3301,elective,
DTL,DTL3404,elective,
DTL,DTL3405,elective,
DTL,DTL3406,elective,
DTL,DTL3407,elective,
DTL,DTL3408,elective,
DTL,DTL3409,elective,
DTL,DTL3410,elective,
DTL,DTL3411,elective,
DTL,DTL4401,elective,
DTL,DTL4402,elective,
DTL,RAM1101,elective,
DTL,RAM1102,elective,
DTL,RAM1103,elective,
DTL,RAM1111,elective,
DTL,RAM1112,elective,
DTL,RAM1113,elective,
DTL,RAM1114,elective,
DTL,RAM1115,elective,
DTL,RAM1116,elective,
DTL,RAM1117,elective,
DTL,RAM1118,elective,
DTL,RAM1119,elective,
DTL,RAM1120,elective,
DTL,RAM1121,elective,
DTL,RAM1122,elective,
DTL,RAM1123,elective,
DTL,RAM1124,elective,
DTL,RAM1125,elective,
DTL,RAM1126,elective,
DTL,RAM1127,elective,
DTL,RAM1128,elective,
DTL,RAM1131,elective,
DTL,RAM1132,elective,
DTL,RAM1141,elective,
DTL,RAM1142,elective,
DTL,RAM1201,elective,
DTL,RAM1202,elective,
DTL,RAM1203,elective,
DTL,RAM1204,elective,
DTL,RAM1211,elective,
DTL,RAM1212,elective,
DTL,RAM1213,elective,
DTL,RAM1214,elective,
DTL,RAM1301,elective,
DTL,RAM1302,elective,
DTL,RAM1303,elective,
DTL,RAM1311,elective,
DTL,RAM1312,elective,
ENG,ENG2001,core
ENG,ENG2101,core
ENG,ENG2102,core
ENG,ENG2401,core
ENG,ENG2601,core
ENG,ENL2001,core
ENG,ENS3302,core
ENG,ENG2002,core
ENG,ENG2402,core
ENG,ENG3101,core
ENG,ENG3201,core
ENG,ENG3301,core
ENG,ENG3401,core
ENG,ENG4201,core
ENG,ENG4401,core
ENG,ENL2003,core
ENG,ENL3104,core
ENG,ENL2101,elective
ENG,ENL3103,elective
ENG,ENL3108,elective
ENG,ENG2901,core
ENG,ENG3602,elective
ENG,ENG3604,elective
ENG,ENG3605,elective
ENG,ENG3611,elective
ENG,ENG3711,elective
ENG,ENG3811,elective
ENG,ENG3904,elective
ENG,ENG4812,elective
ENG,ENG4901,elective
ENG,ENG4906,elective
ENG,ENS4301,elective
ENG,ENS4302,elective
ENG,ENS4304,elective
ENG,ENS4305,elective
